218;Haruki;Murakami
219;Michael;A. Stackpole
220;Agata;Przybyłek
221;Paulina;Świst
222;HANS;ROSLING
223;Anna;Rosling-Ronnlund
224;Ola;Rosling
225;Szczepan;Twardoch
226;Krzysztof;Daukszewicz
227;Andrzej;Kosmala
228;Mick;Herron
229;Marzena;Rogalska
230;Jojo;Moyes
231;Joanna;Olech
232;Margaret;Atwood
233;S.A.;Chakraborty
234;Leszek;Kania
235;Louisa;May Alcott
236;Agustina;Bazterrica
237;Marcin;Margielewski
238;Simone;Davies
239;Barbara;Gawryluk
240;Paweł;Skawiński
241;James;Norbury
242;Santa;Montefiore
243;Kacen;Callender
244;Robert;M. Wegner
245;Mitchell;Zuckoff
246;Cezary;Namirski
247;Edgar;Allan Poe
248;George;Orwell
249;Adam;Kay
250;James;Rollins
251;Witold;Szabłowski
252;Jan;Brzechwa
253;Dorota;Szoblik (ilustr.)
254;Bill;Gates
255;Robert;Samborski
256;Olga;Rudnicka
257;Paulina;Kmiecik
258;Alina;Centkiewicz
259;Czesław;Centkiewicz
260;Piotr;Jacoń
261;Sara;i Wikuś
262;Jarosław;Wojtczak
263;Artur;Domosławski
264;Przemysław;Semczuk
265;Wojciech;Roszkowski
266;Tove;Ditlevsen
267;Jack;Campbell
268;Lilka;Płonka
269;Jarosław;Centek
270;Artur;B. Chmielewski
271;E.;Zambrzycka-Kościelnicka
272;Nora;Roberts
273;Nancy;H. Kleinbaum
274;Jim;Kay (ilustr.)
275;ks.;Piotr Pawlukiewicz
276;Neil;Gaiman
277;Kel;Kade
278;Ryszard;Kulesza
279;Włodzimierz;Szaranowicz
280;Marta;Szaranowicz-Kusz
281;Charles;Soule
282;Sharon;Jones
283;Tomasz;Grzywaczewski
284;Katarzyna;Michalak
285;C.L.;Taylor
286;Michał;Gołkowski
287;Elif;Shafak
288;Silvia;Moreno-Garcia
289;John;Grisham
290;Aneta;Jadowska
291;Douglas;Stuart
292;Jay;Shetty
293;Rafał;Pacześ
294;Veronica;Roth
295;Dobromiła;Agiles
296;Dorota;Szelągowska
297;Witold;Vargas
298;Yaniv;Iczkovits
299;Małgorzata;Oliwia Sobczak
300;Lawrence;Wright
301;Caroline;de Maigret
302;Sophie;Mas
303;Marlon;James
304;Sarah;J. Maas
305;Nigella;Lawson
306;Gu;Byeong-mo
307;Marcel;Moss
308;Marcin;Mortka
309;Umberto;Eco
310;Alexander;Kugelstadt
311;Ann;Rule
312;Walter;Tevis
313;Sandrine;Beau
314;Marie;Leghima
315;Dmitrij;Manasypow
316;Dr;Richard Shepherd
317;Alek;Rogoziński
318;Igor;Brejdygant
319;A;J Gabryel
320;Ahsan;Ridha Hassan
321;Daniel;Odija
322;Janusz;L. Wiśniewski
323;Tomasz;Jastrun
324;Paweł;Paliński
325;Jacek;Melchior
326;Magda;Knedler
327;Elizabeth;Lim
328;Barbara;Kosmowska
329;Sue;Black
330;Jon;Krakauer
331;Jordan;B. Peterson
332;Damian;Markowski
333;Rebecca;Solnit
334;Ewa;Winnicka
335;Mario;Puzo
336;Ana;Johns
337;Hal;Elrod
338;Eckhart;Tolle
339;Hanna;Faryna-Paszkiewicz
340;Viktor;E. Frankl
341;Leszek;Herman
342;Bernard;Minier
343;Weronika;Łodyga
344;Łukasz;Wierzbicki
345;Jarosław;Grzędowicz
346;Robert;Galbraith (pseud. J.K. Rowling)
347;Nicola;Schmidt
348;Helen;Russell
349;Marcin;Kozioł
350;Marek;Szymaniak
351;Deborah;Harkness
352;Dean;Nicholson
353;Jacek;Hołub
354;Kuba;Wojewódzki
355;Charlie;Brooker
356;Annabele;Jones
357;Aleksandra;Lipczak
358;Przemek;Staroń
359;Magda;Łucyan
360;Jędrzej;Pasierski
361;Trudi;Trueit
362;Tomasz;Słomczyński
363;Philip;Pullman
364;Marcin;Kostrzyński
365;Andreas;Viestad
366;Krzysztof;Mazowski
367;Mira;Jaworczakowa
368;Alex;Michaelides
369;Małgorzata;Czyńska
370;James;Clear
371;Maja;Lunde
372;Anna;Wiśniewska
373;Kate;Raworth
374;Volker;Ullrich
375;dr;Michael Mosley
376;Jimmy;Burns
377;Graham;Moore
378;Gabriela;Gargaś
379;Janusz;Bieszk
380;Wojciech;Zieliński
381;R.J.;Palacio
382;Adrian;Markowski
383;Stephenie;Meyer
384;Charles;Dickens
385;Ana;Garcia (ilustr.)
386;Jessica;Bruder
387;Benjamin;Moser
388;Wioletta;Sawicka
389;Tillmann;Bendikowski
390;Ewa;Ornacka
391;Liane;Moriarty
392;Marek;Sekielski
393;Andrzej;Maleszka
394;Piotr;Kępiński
395;James;Donovan
396;Phil;Knight
397;Monika;Śliwińska
398;Maurice;Leblanc
399;Piotr;Wojtków
400;Zofia;Zaniewska-Wojtków
401;Witold;Kawecki CSsR
402;Nina;Majewska-Brown
403;Marek;Stelar
404;Agata;Christie
405;Hannah;Arendt
406;Mike;Omer
407;Iwona;Zasuwa
408;Tina;Oziewicz
409;Dante;Alighieri
410;Ewa;Stusińska
411;Agnieszka;Kamińska
412;Marcin;Gutowski
413;Karolina;Korwin-Piotrowska
414;Kamil;Turecki
415;Magdalena;Kordel
416;Agatha;Christie
417;Dionisios;Sturis
418;Beata;Pawlikowska
419;André;Aciman
420;Sylwia;Trojanowska
421;Jennifer;Wright
422;Chad;Robertson
423;Patrick;McGilligan
424;Eric;Manheimer
425;Gabiela;Gargaś
426;Natalia;Hatalska
427;Colleen;Hoover
428;Joanna;Szarańska
429;Jeffrey;A. Lieberman
430;Alexis;Hall
431;Krzysztof;Kęciek
432;Grzegorz;Cwyl
433;Jacek;Leociak
434;Irena;Jurgielewiczowa
435;Timothy;Zahn
436;Magdalena;Wolińska-Riedi
437;Sarah;Hull
438;Cassandra;Clare
439;Przemysław;Wójtowicz
440;Michał;Wójcik
441;Heike;Faller
442;Alice;Oseman
443;Emily;Giffin
444;Kornel;Makuszyński
445;Małgorzata;Musierowicz
446;Tina;Turner
447;Lisa;Aisato
